season_id,table_name,column_name,total_rows,null_count,null_pct
20242025,game_goalie_stats,even_shots_against,5248,0,0.0
20242025,game_goalie_stats,power_play_shots_against,5248,0,0.0
20242025,game_goalie_stats,decision,5248,0,0.0
20242025,game_goalie_stats,save_percentage,5248,0,0.0
20242025,game_goalie_stats,power_play_save_percentage,5248,0,0.0
20242025,game_goalie_stats,short_handed_save_percentage,5248,0,0.0
20242025,game_goalie_stats,even_strength_save_percentage,5248,0,0.0
20252026,all_goals,goal_player_id,8350,0,0.0
20252026,all_goals,total_goals,8350,0,0.0
20252026,all_goals,assist_player1_id,8350,0,0.0
20252026,all_goals,assist_total_1,8350,0,0.0
20252026,all_goals,assist_player2_id,8350,0,0.0
20252026,all_goals,assist_total_2,8350,0,0.0
20252026,all_goals,empty_net,8350,0,0.0
20252026,all_goals,winner_goal,8350,0,0.0
20252026,all_goals,is_ppg,8350,0,0.0
20252026,all_goals,is_shg,8350,0,0.0
20252026,all_goals,team_id,8350,0,0.0
20252026,all_goals,game_id,8350,0,0.0
20252026,all_goals,period,8350,0,0.0
20252026,all_goals,time,8350,0,0.0
20252026,all_goals,goals_away,8350,0,0.0
20252026,all_goals,goals_home,8350,0,0.0
20252026,all_goals,event_id,8350,0,0.0
20242025,all_goals,goal_player_id,8070,0,0.0
20242025,all_goals,total_goals,8070,0,0.0
20242025,all_goals,assist_player1_id,8070,0,0.0
20242025,all_goals,assist_total_1,8070,0,0.0
20242025,all_goals,assist_player2_id,8070,0,0.0
20242025,all_goals,assist_total_2,8070,0,0.0
20242025,all_goals,empty_net,8070,0,0.0
20242025,all_goals,winner_goal,8070,0,0.0
20242025,all_goals,is_ppg,8070,0,0.0
20242025,all_goals,is_shg,8070,0,0.0
20242025,all_goals,team_id,8070,0,0.0
20242025,all_goals,game_id,8070,0,0.0
20242025,all_goals,period,8070,0,0.0
20242025,all_goals,time,8070,0,0.0
20242025,all_goals,goals_away,8070,0,0.0
20242025,all_goals,goals_home,8070,0,0.0
20242025,all_goals,event_id,8070,0,0.0
